text,emotion
To najlepszy czas jaki moglem sobie wyobrazic!,szczesliwy
To trzeba jeszcze przeanalizowac,neutralny
Zaraz to sprawdze,neutralny
Nie wiem jak to wszystko dalej zniesc.,smutny
Zajmijmy sie tym pozniej,neutralny
Zaraz wroce z odpowiedzia,neutralny
To moment ktory zapamietam na zawsze!,szczesliwy
Nie wiem jak przez to wszystko przejsc.,smutny
Nie potrafie przestac sie bac,przerazony
To najpiekniejszy czas pelen szczescia!,szczesliwy
Znowu to samo po co to wszystko?,zly
Nie potrafie poradzic sobie z tym wszystkim.,smutny
To jak najlepszy wybor w moim zyciu!,szczesliwy
To po prostu nieakceptowalne,zdegustowany
Nie mam sily na nic.,smutny
Nie chce juz tego przezywac.,smutny
Chwila ciszy przypomina mi jak wazna jest harmonia wewnetrzna.,kontemplujacy
To uczucie mnie wykancza psychicznie,przerazony
To mnie zupelnie przeroslo,zdegustowany
Wow to wyglada absolutnie perfekcyjnie nie moge w to uwierzyc!,zaskoczony
To mnie przeraza w kazdej postaci. ,zdegustowany
Serio to sie naprawde dzieje?,przerazony
Znowu czuje sie jakbym nie mial nikogo do siebie.,smutny
Wow nigdy nie sadzilem ze to wyjdzie tak swietnie!,zaskoczony
Znowu czuje sie jakbym stracil sens istnienia.,smutny
To mnie przerasta!,przerazony
To wyglada absolutnie fenomenalnie az musze to zobaczyc jeszcze raz!,zaskoczony
Znowu wszystko poszlo na marne.,smutny
Trzeba to rozwiazac pozniej,neutralny
Nie mam nadziei na przyszlosc.,smutny
To dla mnie bardzo trudne.,smutny
To jest absolutnie zenujace,zdegustowany
Potrzebuje kilku minut na to,neutralny
To jest totalna porazka. ,zdegustowany
Znowu czuje sie jakbym nie mial celu w tym zyciu.,smutny
Nie bede z tym czekal,neutralny
To uczucie ogarnia mnie calkowicie,przerazony
To najlepsza rzecz jaka mnie spotkala!,zaskoczony
W tej ciszy czuje jak moje mysli staja sie lzejsze a serce spokojniejsze.,kontemplujacy
To jest jak poczucie bezsilnosci,przerazony
Nie mam juz sil na te walke!,zly
Wow jestem naprawde zachwycony!,zaskoczony
To uczucie nie pozwala mi oddychac,przerazony
Relaks staje sie czescia mojego ciala.,kontemplujacy
Nie moge tego ogarnac,zdegustowany
Zgubilam siebie.,smutny
Trzeba to jeszcze dokladnie sprawdzic,neutralny
Chwile spokoju pomagaja mi znalezc odpowiedzi na pytania ktore od dawna nosze w sercu.,kontemplujacy
Znowu zaczynam od zera,zly
Zaraz cos strasznego sie stanie!,przerazony
Potrzebuje wiecej czasu aby to sprawdzic,neutralny
To zupelnie wykracza poza moje wyobrazenia!,zaskoczony
Cale to podejscie to pomylka,zdegustowany
Nie sadzilem ze bedzie az tak dobrze!,zaskoczony
Po prostu nie moge tego zniesc juz dluzej,zly
Nie wiem co robic aby moje wysilki wreszcie przyniosly oczekiwany rezultat.,zdegustowany
Z kazda chwila odpoczynku czuje jak moje cialo staje sie lzejsze a umysl spokojniejszy.,kontemplujacy
Wow to wyglada naprawde swietnie az musze to zobaczyc ponownie!,zaskoczony
Po prostu czuje sie zniechecony,zly
Co za niesamowita chwila!,szczesliwy
To mnie doslownie zamraza,przerazony
Zaraz zgine z przerazenia!,przerazony
Znowu czuje sie jakbym stracil wszystko co mialem.,smutny
To absolutnie wspaniale!,szczesliwy
Po prostu nie wiem jak to naprawic,zly
To cudowna chwila!,szczesliwy
Zaraz sprawdze,neutralny
Cisza tego miejsca jest jak melodia.,kontemplujacy
Jestem pelen szczescia i spelnienia!,szczesliwy
To najlepsze co moglo mi sie przytrafic!,szczesliwy
Znowu to samo czemu to mnie spotyka?,zly
Jestem pelen entuzjazmu!,szczesliwy
Zaraz cos peknie we mnie!,przerazony
Znowu czuje sie jakbym bladzil w pustce.,smutny
Nie moge oddychac z tego strachu!,przerazony
To jest absolutnie nie do zniesienia!,zly
Skontaktuje sie z kims odpowiedzialnym,neutralny
To jest najgorsza rzecz jaka moglem zobaczyc. ,zdegustowany
Potrzebuje wiecej czasu na odpowiedz,neutralny
W tej chwili czuje jak wszystko wokol mnie staje sie bardziej zrozumiale.,kontemplujacy
To wyglada na cos czego nie da sie naprawic. ,zdegustowany
Z kazdym oddechem czuje spokoj w sercu.,kontemplujacy
Nie wiem co robic wszystko idzie nie tak,zdegustowany
Nie mam juz nadziei na lepsze jutro.,smutny
Sprawdze to i dam ci znac,neutralny
To jest naprawde nie do przyjecia. ,zdegustowany
Brak slow,zdegustowany
Nie wiem co zrobic by poczuc sie bezpiecznie,przerazony
To uczucie mnie doslownie pochlania,przerazony
To uczucie zbliza sie jak burza,przerazony
To niesamowite doswiadczenie!,szczesliwy
To musze jeszcze zweryfikowac,neutralny
To jest chwila na ktora warto bylo czekac.,kontemplujacy
Znowu czuje sie bezradny.,smutny
To jest cos fantastycznego!,zaskoczony
Mam wrazenie ze caly czas borykam sie z ta sama trudnoscia nie potrafiac jej pokonac.,zdegustowany
To pelnia szczescia!,szczesliwy
Nie wierze w to!,przerazony
Potrzebuje chwili na analize,neutralny
Zaraz wybuchne z leku!,przerazony
Jestem naprawde szczesliwy!,szczesliwy
Patrzac na niebo czuje jak wielki jest swiat a jak male sa moje zmartwienia.,kontemplujacy
Chcialbym zapomniec o wszystkim.,smutny
Nie moge uwierzyc w to,przerazony
Zaskoczylo mnie to bardziej niz myslalem! ,zaskoczony
Zupelnie tego nie pojmuje. ,zdegustowany
Jakie to wszystko jest zachwycajace.,kontemplujacy
To po prostu nie daje mi spokoju,zly
To super wiadomosc!,zaskoczony
To jak najlepszy wybor!,szczesliwy
Znowu czuje sie jakbym byl w ciemnosci.,smutny
Patrzac na rzeke czuje jak wszystko plynie w swoim czasie.,kontemplujacy
Czuje jak spokoj tej chwili wplywa na moje mysli wprowadzajac je w harmonie.,kontemplujacy
Kazdy moment tej chwili pomaga mi poczuc gleboki spokoj.,kontemplujacy
Nie wiem jak to przetrwac,przerazony
Po prostu czuje sie jak porazka,zly
Jestem calkowicie zalamany.,smutny
Brak slow na taki poziom,zdegustowany
To jest zbyt przerazajace!,przerazony
Kazdy oddech staje sie spokojniejszy a mysli bardziej klarowne.,kontemplujacy
To moment ktory na zawsze bede wspominac!,szczesliwy
Po takim zawodzie trudno cokolwiek jeszcze traktowac powaznie. ,zdegustowany
Znowu czuje sie jakbym tonal w smutku.,smutny
Zaraz znikne z tego strachu!,przerazony
To jak cudowna chwila!,szczesliwy
To sprawia ze czuje sie naprawde rozczarowany. ,zdegustowany
Znowu wszystko mi sie rozsypuje,zly
To mnie przerasta,zly
To przypomina mi jak wazne sa proste rzeczy.,kontemplujacy
Zgroza,zdegustowany
Jestem pelen entuzjazmu!,szczesliwy
Znowu to sie nie udalo,zly
Nie mam juz cierpliwosci do tego,zdegustowany
Zaskoczylo mnie to do tego stopnia ze jestem totalnie oszolomiony!,zaskoczony
Nie wiem jak przez to przebrnac.,smutny
To przeszlo moje wszelkie oczekiwania,zdegustowany
Musze to jeszcze omowic,neutralny
Znowu wszystko na marne to mnie przytlacza,zly
Chwileczke sprawdze to,neutralny
Znowu czuje sie jakbym byl sam w tym wszystkim.,smutny
Wow to wyglada jak marzenie jestem w pelnym szoku!,zaskoczony
Znowu czuje sie jakbym byl w martwym punkcie.,smutny
Nie potrafie sie uspokoic,przerazony
To jest zbyt przerazajace!,przerazony
Nie wiem jak stad wyjsc,przerazony
Jestem przepelniony wdziecznoscia!,szczesliwy
Zaskoczylo mnie to tak ze czuje sie totalnie oszolomiony!,zaskoczony
To jak spelnione marzenie!,szczesliwy
Po prostu nie wiem co zrobic to za duzo,zly
Nie wiem jak mam to ogarnac,zdegustowany
Zaraz rozwiazemy problem,neutralny
To naprawde wyjatkowa chwila!,szczesliwy
Nie moge dluzej tego znosic!,zly
Znowu czuje sie jakbym byl sam na swiecie.,smutny
Nie wiem jak to przejsc do porzadku dziennego,zdegustowany
Za chwile to zrobimy,neutralny
To uczucie jak czarna dziura,przerazony
Jakie to wszystko jest nadzwyczajnie piekne.,kontemplujacy
To absolutnie przekracza moje wyobraznie!,zaskoczony
To jest totalnie zaskakujace nie spodziewalem sie ze to bedzie az tak dobre!,zaskoczony
To jak spelnione marzenie!,szczesliwy
Po prostu nie wytrzymam juz tej sytuacji,zly
To idealna okazja!,szczesliwy
Po prostu nie wytrzymam dluzej,zdegustowany
Nie widze zadnego wyjscia.,smutny
Znowu to sie nie udalo,zly
Jak mozna postepowac w taki sposob? To naprawde sprawia ze czuje sie calkowicie obrzydzony,zdegustowany
Wiedzialem ze cos sie stanie ale nie sadzilem ze to bedzie az tak zle. ,zdegustowany
Jakby ziemia osunela mi sie pod nogami,przerazony
Zastanawiam sie co to znaczy byc obecnym w pelni w tej chwili.,kontemplujacy
Za moment to rozwiazemy,neutralny
To najlepsza decyzja jaka podjalem!,szczesliwy
Zaraz oszaleje!,przerazony
To naprawde mnie wyczerpuje.,zly
Nie wiem jak poradzic sobie z ta pustka.,smutny
Wow to jest zupelnie cos czego nie przewidzialem!,zaskoczony
Zamykam oczy i pozwalam spokoju tego miejsca przeniknac kazda komorke mojego ciala.,kontemplujacy
To nie jest w porzadku,zdegustowany
Nie moge tego zaakceptowac,zdegustowany
O matko jaki sukces!,zaskoczony
Nie wiem jak sie wyplatac,przerazony
Znowu wszystko sie zawalilo.,smutny
Jestem pelen entuzjazmu!,szczesliwy
Zajme sie tym pozniej,neutralny
Znowu wszystko sie rozpadlo,zly
Nie mam juz w sobie radosci.,smutny
Nie wiem jak to przetrwam.,smutny
Nie pojmuje tej sytuacji,zdegustowany
Jestem wsciekly,zly
Z kazda chwila czuje jak moje mysli staja sie bardziej zorganizowane.,kontemplujacy
To jest calkowicie nieakceptowalne. ,zdegustowany
Zaraz to zrobimy,neutralny
To jest wyjatkowo nieudolne,zdegustowany
Za moment to zrealizuje,neutralny
Chwila spokoju pomaga mi poczuc sie w pelni obecnym w tej chwili.,kontemplujacy
To uczucie przebija kazda moja pewnosc,przerazony
To wymaga analizy,neutralny
To jak najlepsza przygoda!,szczesliwy
Wow to zmienia calkowicie moja perspektywe!,zaskoczony
Wow to jest po prostu fenomenalne! ,zaskoczony
Po prostu tego nie znosze,zly
Brak mi slow na ten poziom,zdegustowany
Nie mam nadziei na przyszlosc.,smutny
Jak ktos moze byc az tak bezmyslnym by pozwolic na cos takiego? ,zdegustowany
To nie jest normalne,zdegustowany
Nie mam nadziei na przyszlosc.,smutny
W tej chwili czuje jak moje cialo staje sie coraz bardziej zrelaksowane i spokojne.,kontemplujacy
To uczucie blokuje kazdy moj ruch,przerazony
Znowu to samo jak mam to przezyc?,zly
Kazda chwila odpoczynku pozwala mi poczuc pelna harmonie.,kontemplujacy
Patrze na ciche wzgorza i czuje jak spokojne mysli napelniaja mnie rownowaga.,kontemplujacy
Znowu to samo co za koszmar,zly
Jestem pelen radosci!,szczesliwy
To miejsce przenosi mnie w inny wymiar.,kontemplujacy
Czuje ogromny niesmak kiedy mysle o tym jak wiele wysilkow poszlo na marne jak wiele godzin pracy zmarnowalem by nic z tego nie wyniklo a efekty sa wrecz odwrotne od oczekiwanych.,zdegustowany
Nie potrafie zebrac mysli,przerazony
Brak kompetencji az razi,zdegustowany
O matko to jest po prostu spektakularne!,zaskoczony
Nie moge przestac sie bac,przerazony
Znowu czuje sie jakbym nie mial nikogo kto by mnie wspieral.,smutny
To chyba najwieksza pomylka jaka kiedykolwiek widzialem. ,zdegustowany
Nie mialem pojecia ze tak to wyjdzie!,zaskoczony
To jest nie do wytrzymania,zdegustowany
Czuje sie jakbym zaraz mial zniknac!,przerazony
Co za koszmar,przerazony
Nie wiem jak to wytrzymac!,zly
To mnie zniszczylo.,smutny
To jak bajka ktora sie spelnia!,szczesliwy
To jak spelnione marzenie!,szczesliwy
Nie potrafie powstrzymac swojej paniki,przerazony
Potrzebuje chwili by to sprawdzic,neutralny
Zaraz zaczynam panikowac!,przerazony
Znowu musze walczyc o cos czego nie chce,zly
To naprawde przeroslo wszystkie moje oczekiwania!,zaskoczony
To wszystko wydaje sie byc bez sensu.,smutny
Ojej to wyglada tak niesamowicie ze az nie moge tego uwierzyc!,zaskoczony
Jestem pelen radosci!,szczesliwy
Zastanawiam sie co by sie stalo gdybysmy po prostu pozwolili sobie na odpoczynek.,kontemplujacy
Stracilem swoja wiare.,smutny
To jest zbyt trudne do zaakceptowania.,smutny
To jest nie do wytrzymania,zdegustowany
Jestem pelen emocji i radosci!,szczesliwy
Trzeba to sprawdzic,neutralny
To mnie po prostu przerasta,zly
Nie mam juz sily naprawde,zly
Nie potrafie tego zniesc,zly
Zaskoczylo mnie to to wyglada naprawde genialnie!,zaskoczony
Znowu wszystko na marne,zly
Co sie stanie?!,przerazony
Znowu czuje sie jakbym stracil sens zycia.,smutny
O matko to naprawde mnie pozytywnie zaskoczylo!,zaskoczony
To uczucie mnie powstrzymuje,przerazony
To jest jak tornado ktore zniszczylo wszystko,przerazony
To niesamowity czas pelen szczescia!,szczesliwy
Jestem pelen radosci!,szczesliwy
Nie mam juz nadziei wszystko co sie dzieje po prostu mnie obrzydza i czuje sie przygnieciony,zdegustowany
Jestem pelen zadowolenia!,szczesliwy
To jak najlepsza chwila w moim zyciu!,szczesliwy
To jest nie do wytrzymania,zly
Jestem pelen entuzjazmu!,szczesliwy
Po prostu nie jestem w stanie tego zaakceptowac. ,zdegustowany
Jestem pelen radosci i energii!,szczesliwy
To jak cios w plecy z ktorym nie wiem jak sobie poradzic. ,zdegustowany
Znowu czuje sie jakbym nie mial nadziei.,smutny
To uczucie zakleszcza mnie w bezruchu,przerazony
To mnie po prostu wykancza!,zly
To naprawde zniechecajace,zdegustowany
Nie wiem jak przejsc przez to wszystko.,smutny
Nie wiem jak to przetrwam,przerazony
Nie moge sie z tym pogodzic. ,zdegustowany
Boze co teraz,przerazony
To jest naprawde zle,zdegustowany
Nie wiem czy uda sie naprawic to co zostalo zniszczone przez tak proste bledy. ,zdegustowany
Wow to wyglada po prostu nieziemsko nie potrafie uwierzyc ze to prawda!,zaskoczony
Nie wiem co powiedziec. ,zdegustowany
Nie wytrzymam tego leku!,przerazony
Ojej to jest niesamowite co sie stalo!,zaskoczony
Znowu czuje sie nieistotny.,smutny
Znowu czuje sie jakbym nie mial celu.,smutny
Ta sytuacja sprawia ze czuje sie calkowicie bezsilny. ,zdegustowany
Po prostu nie wytrzymam,zly
Nie wiem czy kiedykolwiek sie otrzasne,przerazony
To jak spelnione marzenie!,szczesliwy
Wow tego sie nie spodziewalem! ,zaskoczony
To jest nie do opisania,przerazony
Po prostu nie wiem jak to przelknac. ,zdegustowany
Chwila kontemplacji sprawia ze moje cialo staje sie coraz bardziej zrelaksowane.,kontemplujacy
Wow to jest po prostu idealne nie moglem sie tego spodziewac!,zaskoczony
Znowu czuje sie jakbym byl sam na tym swiecie.,smutny
Nie wytrzymam tego strachu!,przerazony
Nie potrafie wyjsc z tego strachu,przerazony
Znowu czuje sie jakbym nie mial nikogo.,smutny
Czuje sie kompletnie bezsilny.,smutny
Prosze o chwile,neutralny
Po prostu wszystko sie wali,zly
Jestem pelen energii i radosci!,szczesliwy
Zaraz znajde odpowiedz,neutralny
To jak najlepszy wybor!,szczesliwy
Znowu to sie wydarzylo nie wiem jak to przezyc,zly
Nie wiem co bedzie dalej.,smutny
Nie wiem jak moge to przetrwac.,smutny
To moment ktory na zawsze pozostanie w mojej pamieci!,szczesliwy
Jestem pelen milosci i entuzjazmu!,szczesliwy
To sie nie moze dziac!,przerazony
Zaraz to rozwaze,neutralny
Po prostu nie wiem co mam robic bo za kazdym razem gdy mysle ze moze tym razem sie uda koncze z jeszcze wiekszym fiaskiem niz poprzednio.,zdegustowany
To wyglada tak dobrze ze az nie potrafie tego uwierzyc!,zaskoczony
Ta chwila odpoczynku daje mi poczucie pelnego ukojenia.,kontemplujacy
Znowu czuje sie sam.,smutny
Jakie to wszystko jest wspaniale proste.,kontemplujacy
Nie przewidzialem ze cos takiego sie stanie!,zaskoczony
Kazdy oddech sprawia ze czuje sie coraz bardziej polaczony z otaczajacym mnie swiatem.,kontemplujacy
Z kazda chwila ciszy czuje jak moje serce bije spokojniej a umysl staje sie wyciszony.,kontemplujacy
To uczucie zabiera mi oddech,przerazony
Jestem naprawde szczesliwy!,szczesliwy
Znowu zaczynam od nowa ile razy jeszcze?,zly
Sprawdze szczegoly pozniej,neutralny
Znowu zaczynam od nowa dlaczego to sie nie konczy?,zly
Znowu mam do czynienia z tym samym problemem!,zly
To trzeba jeszcze przemyslec,neutralny
Zajmuje sie tym teraz,neutralny
Kazdy dzwiek przyrody mnie uspokaja.,kontemplujacy
To jak spelnione marzenie!,szczesliwy
Nie wiem jak przejsc przez ten mrok,przerazony
Nie mam sily na nic.,smutny
Znowu to sie stalo,zly
Czuje ze otacza mnie cos wiekszego.,kontemplujacy
To uczucie przeszywa mnie jak ostrze,przerazony
To jest wyjatkowo zenujace,zdegustowany
Z kazdym oddechem czuje jak moje mysli staja sie bardziej spokojne.,kontemplujacy
To jest tragiczne,zly
To juz koniec moich nadziei.,smutny
Zrobimy to po kolei,neutralny
To wszystko jest zbyt straszne!,przerazony
Nie wytrzymam tego leku!,przerazony
Jestem przepelniony wdziecznoscia!,szczesliwy
Potrzebuje chwile na sprawdzenie,neutralny
Nie wiem jak przez to przebrnac.,smutny
To straszne,przerazony
Co sie dzieje?!,przerazony
To mnie po prostu dobija!,zly
Znowu sie wszystko sypie!,zly
W tej chwili czuje jak moje cialo staje sie coraz bardziej odprezone.,kontemplujacy
To jakby ktos zniszczyl moje nadzieje,zdegustowany
Chcialbym wiedziec jak sie z tego wydostac ale czuje sie bezradny. ,zdegustowany
To przekroczylo moje wyobrazenia! ,zaskoczony
Znowu mam do czynienia z tym samym problemem!,zly
Jestem pelen entuzjazmu!,szczesliwy
Zajmijmy sie tym pozniej,neutralny
Po tym wszystkim nie wiem jak to przejsc czuje sie totalnie zmarnowany i zdegustowany,zdegustowany
Znowu to samo po co w ogole probowac?,zly
Zaraz sie rozpadne!,przerazony
Wow to jest po prostu cos rewelacyjnego nie moglem sie tego spodziewac!,zaskoczony
Znowu zawiodlem wszystkich.,smutny
Znowu wszystko sie psuje nie wiem dlaczego,zly
To najlepszy czas w moim zyciu!,szczesliwy
Czuje sie bardzo przygnebiony.,smutny
Jestem pelen entuzjazmu i radosci!,szczesliwy
Rownowaga wypelnia moja dusze.,kontemplujacy
Kazdy krok na sciezce w lesie wypelnia mnie spokojem jakby wszystko mialo swoj porzadek.,kontemplujacy
Po prostu nie wytrzymam to juz za duzo,zly
Nie moge uwierzyc ze cos co wydawalo sie takie proste zakonczylo sie totalnym niepowodzeniem. ,zdegustowany
Kazdy dzwiek natury to muzyka.,kontemplujacy
Nie mam nadziei na przyszlosc.,smutny
To jest nie do pomyslenia,zdegustowany
Znowu wszystko na marne,zly
Chwila ciszy wypelnia mnie spokojem i poczuciem pelni.,kontemplujacy
To przeroslo moje oczekiwania!,zaskoczony
Trzeba to jeszcze potwierdzic,neutralny
Trzeba to sprawdzic,neutralny
To jak najlepszy wybor!,szczesliwy
Znowu wszystko sie zawalilo,zly
Patrze na przestrzen wokol i czuje gleboki oddech.,kontemplujacy
W tej chwili czuje jak kazda mysl staje sie spokojniejsza i bardziej wywazona.,kontemplujacy
Nie wiem jak znalezc spokoj,przerazony
Znowu czuje sie jakbym nie mial sensu w zyciu.,smutny
To najpiekniejsza chwila mojego zycia!,szczesliwy
Wow to jest absolutnie zaskakujace jestem w szoku!,zaskoczony
Jak to mozliwe?,przerazony
Zaraz nie bede mogl oddychac!,przerazony
Za chwile znajde rozwiazanie,neutralny
Zatrzymuje sie by poczuc jak wazne sa male ciche momenty.,kontemplujacy
Znowu wszystko sie wali co teraz?,zly
Nie wiem co dalej.,smutny
Znowu czuje sie jakbym nie mial nikogo.,smutny
Znowu to samo czuje sie jakbym byl w pulapce to po prostu okropne i nie do przyjecia,zdegustowany
Po prostu czuje sie bezradny!,zly
Po prostu to mnie przerasta,zly
O rety jaka cudowna wiadomosc!,zaskoczony
Patrze i czuje sie blisko natury.,kontemplujacy
To juz nie jest zabawne nie wytrzymam,zly
Stracilem wiare w ludzi.,smutny
To dla mnie zbyt trudne.,smutny
To moment ktory na zawsze pozostanie w mojej pamieci!,szczesliwy
Nie mam juz nadziei na przyszlosc.,smutny
Po prostu nie wiem jak to naprawic,zly
Po prostu nie wiem co robic,zly
Zastanawiam sie co by sie stalo gdybym zamiast planowac po prostu zyl.,kontemplujacy
Jestem pelen pozytywnych emocji i entuzjazmu!,szczesliwy
To wymaga dokladniejszego sprawdzenia,neutralny
Skontaktuje sie z odpowiednia osoba,neutralny
Znowu czuje sie jakbym byl sam w tym swiecie.,smutny
Chwileczke musze to sprawdzic,neutralny
Jestem w pelni szczesliwy!,szczesliwy
Zajmijmy sie tym pozniej jak bedziemy gotowi,neutralny
To najlepszy wybor jakiego moglem dokonac!,szczesliwy
Znowu trace nadzieje na przyszlosc.,smutny
Szukam rozwiazan ale nie moge znalezc zadnego ktore mogloby mi pomoc wyjsc z tej trudnej sytuacji.,zdegustowany
Jestem w szoku nie wierze wlasnym oczom!,zaskoczony
Kazda proba wyjscia z tej sytuacji wydaje sie byc beznadziejna. ,zdegustowany
Nie wiem dlaczego to wciaz wraca.,smutny
Ojej jaki cudowny wynik!,zaskoczony
Nie mam sily na dalsza walke.,smutny
Chwila kontemplacji przynosi mi spokoj ktory przenika moje cialo.,kontemplujacy
Nie wiem jak przez to przejsc.,smutny
To musze potwierdzic,neutralny
To mnie przytlacza!,zly
Wow to wyglada absolutnie oszalamiajaco totalnie mnie zaskoczylo!,zaskoczony
Znowu to samo jak mozna byc tak nieodpowiedzialnym?,zdegustowany
Wow jak super wyszlo!,zaskoczony
To wszystko jest nie do zniesienia,zly
To absolutnie najlepsze!,szczesliwy
Znowu musze przejsc przez to samo,zly
To wspaniala chwila!,szczesliwy
To najlepsze uczucie!,szczesliwy
Skontaktuje sie z kims pozniej,neutralny
To jest zwyczajnie glupie,zdegustowany
Znowu czuje sie jakbym nie pasowal do nikogo.,smutny
